Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Log Work,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"On clicking the Google+ icon, no page for logging in to google+ occurs.",RE-105,10163,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 5:46 AM,08/Sep/21 7:17 AM,08/Sep/21 7:17 AM,,,0,"h3. The user is not able to log in to google+ by clicking on the Google+ icon.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Click on the Google+ icon.

h3. 3. User moves to the google+ log-in page.

h3. Expected Results:

h3. The user can log in to google+ by clicking on the Google+ icon.

h3. Actual Result:

h3. The user is not able to log in to google+ by clicking on the Google+ icon.

h3. Image showing Google+ icon at the bottom of the page.

!google+.png|width=1024,height=467!

h3.  Image after clicking the Google+ icon.

!google+1.png|width=1024,height=463!



h3. Image showing Google+ icon on the blogs page.

!google+2.png|width=1024,height=463!

h3.  Image after clicking the Google+ icon.

!google+4.png|width=1021,height=469!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-66,RE-78,RE-45,RE-36,RE-124,,RE-78,RE-45,RE-124,07/Sep/21 6:05 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;google+.png;https://corporateola27.atlassian.net/secure/attachment/10008/google%2B.png,07/Sep/21 6:05 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;google+1.png;https://corporateola27.atlassian.net/secure/attachment/10009/google%2B1.png,07/Sep/21 9:45 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;google+2.png;https://corporateola27.atlassian.net/secure/attachment/10016/google%2B2.png,07/Sep/21 9:45 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;google+4.png;https://corporateola27.atlassian.net/secure/attachment/10017/google%2B4.png,,,,,,{},,,,,,,0|i00091:i,,Real Estate Sprint,,,,,,,,To Do
"On the 'Real Estate' website, the search bar is not displayed properly.",RE-104,10162,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 4:50 AM,07/Sep/21 12:30 PM,09/Sep/21 5:29 AM,,,0,"h3. The user is not able to see the search bar properly on the ‘Real Estate’ website.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Click on the 'Real Estate' link at the top of the website and get to that page.

h3. 3. See the search bar.

h3. Expected Results:

h3. The user can see and use the search bar to search for properties.

h3. Actual Result:

h3. The search bar is not positioned properly.

!search.png|width=1024,height=433!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-23,RE-4,,,,,,,,07/Sep/21 4:54 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;search.png;https://corporateola27.atlassian.net/secure/attachment/10007/search.png,,,,,,,,,{},,,,,,,0|i00091:e,,Real Estate Sprint,,,,,,,,To Do
User is not able to use the email address given on the 'Contact Us' page to write an email to the Real Estate team.,RE-103,10161,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 4:38 AM,07/Sep/21 12:30 PM,09/Sep/21 5:29 AM,,,0,"h3. The user is not able to use the email address given on the 'Contact Us' page to write an email to the Real Estate team.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Click on the 'Contact Us' link at the bottom of the website and get to that page.

h3. 3. Click on the email address given on that page.

h3. Expected Results:

h3. The user can use that email address to write a mail to the Real Estate team.

h3. Actual Result:

h3. An error page is displayed after clicking on the email address.

!email.png|width=1024,height=469!

!email1.png|width=1024,height=469!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-51,RE-5,,,,,,,,07/Sep/21 4:42 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;email.png;https://corporateola27.atlassian.net/secure/attachment/10006/email.png,07/Sep/21 4:42 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;email1.png;https://corporateola27.atlassian.net/secure/attachment/10005/email1.png,,,,,,,,{},,,,,,,0|i00091:f,,Real Estate Sprint,,,,,,,,To Do
User is not able to access the Web link of Real Estate on the 'Contact Us' page.,RE-102,10160,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,07/Sep/21 4:28 AM,07/Sep/21 12:30 PM,09/Sep/21 5:29 AM,,,0,"h3. The user is not able to use the web link given on the ‘Contact Us’ page.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Click on the 'Contact Us' link at the bottom of the website and get to that page.

h3. 3. Click on the web link given on that page.

h3. Expected Results:

h3. The user can use that web link to see the website related to it.

h3. Actual Result:

h3. An error page is displayed after clicking on the web link.

!web link.png|width=1024,height=468!

!web link 1.png|width=1024,height=466!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-50,RE-5,,,,,RE-50,,,07/Sep/21 4:29 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;web link 1.png;https://corporateola27.atlassian.net/secure/attachment/10003/web+link+1.png,07/Sep/21 4:29 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;web link.png;https://corporateola27.atlassian.net/secure/attachment/10004/web+link.png,,,,,,,,{},,,,,,,0|i00091:d,,Real Estate Sprint,,,,,,,,To Do
User is not able to find a list of properties in 'Browse Properties' section.,RE-101,10159,Bug,To Do,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 12:30 PM,07/Sep/21 12:30 PM,09/Sep/21 5:29 AM,,,0,"h3. ‘Browse Properties’ page is not displaying any properties.

h3. Steps to reproduce:

h3. 1. Go to the Real Estate website.

h3. 2. Clicks on the 'Real Estate' link on top of the website and get to that page.

h3. 3. Hover on the 'We help people and homes find each other' link and find a link named 'Browse Properties'.

h3. 4. Click on ‘Browse Properties’ to find a list of properties.

h3. Expected Results:

h3. The user finds a list of properties after clicking on the ‘Browse properties’ link.

h3. Actual Result:

h3. An error page is displayed after clicking on ‘Browse Properties’.

!Browse properties1.png|width=50%!

!Browse properties.png|width=50%!",,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,RE-29,RE-4,,,,,RE-29,,,07/Sep/21 4:15 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;Browse properties.png;https://corporateola27.atlassian.net/secure/attachment/10001/Browse+properties.png,07/Sep/21 4:15 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;Browse properties1.png;https://corporateola27.atlassian.net/secure/attachment/10002/Browse+properties1.png,,,,,,,,{},,,,,,,0|i00091:9,,Real Estate Sprint,,,,,,,,To Do
Verify that admin can update the information of the 'Compare Properties' page on the 'Real Estate' website.,RE-100,10158,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:56 AM,08/Sep/21 6:59 AM,08/Sep/21 6:59 AM,07/Sep/21 9:11 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-99,RE-84,,,,,,,,,,,,{},,,,,,,0|i000tj:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the information of the 'Contact Us' page on the 'Real Estate' website.,RE-99,10157,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:55 AM,08/Sep/21 6:59 AM,08/Sep/21 6:59 AM,07/Sep/21 9:54 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-98,RE-84,,,,,,,,,,,,{},,,,,,,0|i000tb:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the information of the 'About Us' page on the 'Real Estate' website.,RE-98,10156,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:54 AM,08/Sep/21 6:58 AM,08/Sep/21 6:58 AM,07/Sep/21 5:23 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-97,RE-84,,,,,,,,,,,,{},,,,,,,0|i000t3:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the information at the bottom of the page on the 'Real Estate' website.,RE-97,10155,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:53 AM,08/Sep/21 6:58 AM,08/Sep/21 6:58 AM,07/Sep/21 9:05 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-96,RE-84,,,,,,,,,,,,{},,,,,,,0|i000sv:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the phone number and email address at the top of the page on the 'Real Estate' website.,RE-96,10154,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:51 AM,08/Sep/21 6:58 AM,08/Sep/21 6:58 AM,07/Sep/21 6:38 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-94,RE-84,,,,,,,,,,,,{},,,,,,,0|i000sn:,,Real Estate Sprint,,,,,,,,Done
Verify that user gets phone number and email address at the top of the 'Real Estate' website.,RE-95,10153,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:49 AM,08/Sep/21 4:33 AM,08/Sep/21 4:33 AM,07/Sep/21 6:11 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-47,RE-36,,,,,,,,,,,,{},,,,,,,0|i000sf:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the information on the 'Invest in Overseas' page on the 'Real Estate' website.,RE-94,10152,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:47 AM,08/Sep/21 6:58 AM,08/Sep/21 6:58 AM,07/Sep/21 6:26 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-93,RE-84,,,,,,,,,,,,{},,,,,,,0|i000s7:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the articles under the 'Realty News & Articles' section on the 'Real Estate' website.,RE-93,10151,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:45 AM,08/Sep/21 6:58 AM,08/Sep/21 6:58 AM,07/Sep/21 6:40 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-92,RE-84,,,,,,,,,,,,{},,,,,,,0|i000rz:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can update the clients' comments under the 'What Our Clients Say' section on the 'Real Estate' website.,RE-92,10150,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:42 AM,08/Sep/21 6:57 AM,08/Sep/21 6:57 AM,07/Sep/21 6:22 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-91,RE-84,,,,,,,,,,,,{},,,,,,,0|i000rr:,,Real Estate Sprint,,,,,,,,Done
"Verify that admin can update the number of Listings for Sale, Clients, Builders, and Conversion on the 'Real Estate' website.",RE-91,10149,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:40 AM,08/Sep/21 6:57 AM,08/Sep/21 6:57 AM,07/Sep/21 9:16 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-90,RE-84,,,,,,,,,,,,{},,,,,,,0|i000rj:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can alter the data on the 'Legal' website under 'Real Estate'.,RE-90,10148,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:38 AM,08/Sep/21 6:57 AM,08/Sep/21 6:57 AM,07/Sep/21 9:55 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-89,RE-84,,,,,,,,,,,,{},,,,,,,0|i000rb:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can alter the data on the 'Interiors' website under 'Real Estate'.,RE-89,10147,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:37 AM,08/Sep/21 6:57 AM,08/Sep/21 6:57 AM,07/Sep/21 7:28 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-87,RE-84,,,,,,,,,,,,{},,,,,,,0|i000r3:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can alter the data on the 'Home Loan' website under 'Real Estate'.,RE-88,10146,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:36 AM,08/Sep/21 6:56 AM,08/Sep/21 6:56 AM,07/Sep/21 5:08 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-87,RE-84,,,,,,,,,,,,{},,,,,,,0|i000qv:,,Real Estate Sprint,,,,,,,,Done
Verify that admin can alter the data on the 'Realty' website under 'Real Estate'.,RE-87,10145,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:34 AM,08/Sep/21 6:56 AM,08/Sep/21 6:56 AM,07/Sep/21 6:36 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-86,RE-84,,,,,,,,,,,,{},,,,,,,0|i000qn:,,Real Estate Sprint,,,,,,,,Done
Verify that the admin can add properties in the 'Features Properties' section on the 'Real Estate' page.,RE-86,10144,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:31 AM,08/Sep/21 6:56 AM,08/Sep/21 6:56 AM,07/Sep/21 9:14 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-85,RE-84,,,,,,,,,,,,{},,,,,,,0|i000qf:,,Real Estate Sprint,,,,,,,,Done
Verify that the admin can delete inappropriate blogs posted by the users.,RE-85,10143,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:25 AM,08/Sep/21 6:56 AM,08/Sep/21 6:56 AM,07/Sep/21 7:24 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-84,,,,,,,,,,,,{},,,,,,,0|i000q7:,,Real Estate Sprint,,,,,,,,Done
"As an admin, I want to make necessary changes to the website, so that the website stays up-to-date.",RE-84,10142,Story,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:22 AM,08/Sep/21 6:59 AM,09/Sep/21 5:07 AM,08/Sep/21 6:59 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00091:,,Real Estate Sprint,,,,,,,,Done
Verify that the user automatically logs out of the website if screen is left idle for more than 15 minutes.,RE-83,10141,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:16 AM,07/Sep/21 12:29 PM,08/Sep/21 6:55 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-82,RE-81,,,,,,,,,,,,{},,,,,,,0|i0008w:,,Real Estate Sprint,,,,,,,,In Progress
Verify that the user logs out of the website by clicking on 'Log Out'.,RE-82,10140,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:11 AM,08/Sep/21 6:55 AM,08/Sep/21 6:55 AM,07/Sep/21 5:18 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-81,,,,,,,,,,,,{},,,,,,,0|i000pr:,,Real Estate Sprint,,,,,,,,Done
"As a user, I want to logout from the 'Real Estate' website so that my data is secured.",RE-81,10139,Story,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:06 AM,07/Sep/21 8:39 AM,08/Sep/21 6:55 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0008r:,,Real Estate Sprint,,,,,,,,In Progress
Verify that a button with upward arrow is placed at the bottom of page to take user to the top instantly.,RE-80,10138,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 11:00 AM,08/Sep/21 6:54 AM,08/Sep/21 6:54 AM,07/Sep/21 6:12 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-79,RE-66,,,,,,,,,,,,{},,,,,,,0|i000pj:,,Real Estate Sprint,,,,,,,,Done
Verify that the Wifi icon at the bottom of the page is accessible or not.,RE-79,10137,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,06/Sep/21 10:59 AM,07/Sep/21 12:29 PM,08/Sep/21 7:14 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-77,RE-66,,,,,,,,,,,,{},,,,,,,0|i0008m:,,Real Estate Sprint,,,,,,,,In Progress
